vertex_id,x,y,degree,k_sum_mod4,K0,K1,K2,K3,perp_x,perp_y,perp_r,k_sum
9924,61.4055915910,-27.4350288425,5,2,31,12,-14,-31,0.5944084090,0.5649711575,0.8200693662,-2
9925,60.4055915910,-25.0208152802,3,0,30,13,-13,-30,-0.4055915910,0.9791847198,1.0598619034,0
9926,60.6984848098,-25.7279220614,3,0,31,12,-13,-30,1.3015151902,0.2720779386,1.3296496512,0
9927,61.4055915910,-25.0208152802,4,1,31,13,-13,-30,0.5944084090,0.9791847198,1.1454798437,1
9928,59.6984848098,-22.3137084990,5,3,30,13,-11,-29,0.3015151902,-0.3137084990,0.4351142749,3
9929,60.4055915910,-21.6066017178,4,0,30,14,-11,-29,-0.4055915910,0.3933982822,0.5650369432,4
9930,60.6984848098,-22.3137084990,4,0,31,13,-11,-29,1.3015151902,-0.3137084990,1.3387885616,4
9931,61.4055915910,-21.6066017178,5,1,31,14,-11,-29,0.5944084090,0.3933982822,0.7127998072,5
9932,60.4055915910,-19.1923881554,3,3,30,15,-10,-28,-0.4055915910,0.8076118446,0.9037374786,7
9933,60.6984848098,-19.8994949366,3,3,31,14,-10,-28,1.3015151902,0.1005050634,1.3053900023,7
9934,61.4055915910,-19.1923881554,4,0,31,15,-10,-28,0.5944084090,0.8076118446,1.0027752730,8
9935,59.6984848098,-16.4852813742,5,2,30,15,-8,-27,0.3015151902,-0.4852813742,0.5713225202,10
9936,60.4055915910,-15.7781745931,4,3,30,16,-8,-27,-0.4055915910,0.2218254069,0.4622889247,11
9937,60.6984848098,-16.4852813742,3,3,31,15,-8,-27,1.3015151902,-0.4852813742,1.3890427648,11
9938,61.4055915910,-15.7781745931,6,0,31,16,-8,-27,0.5944084090,0.2218254069,0.6344508396,12
9939,60.4055915910,-13.3639610307,3,2,30,17,-7,-26,-0.4055915910,0.6360389693,0.7543541007,14
9940,60.6984848098,-14.0710678119,3,2,31,16,-7,-26,1.3015151902,-0.0710678119,1.3034540361,14
9941,61.4055915910,-13.3639610307,4,3,31,17,-7,-26,0.5944084090,0.6360389693,0.8705555279,15
9942,60.4055915910,-10.9497474683,3,1,30,18,-6,-25,-0.4055915910,1.0502525317,1.1258485329,17
9943,60.6984848098,-11.6568542495,3,1,31,17,-6,-25,1.3015151902,0.3431457505,1.3459906375,17
9944,61.4055915910,-10.9497474683,4,2,31,18,-6,-25,0.5944084090,1.0502525317,1.2067939911,18
9945,59.6984848098,-8.2426406871,5,0,30,18,-4,-24,0.3015151902,-0.2426406871,0.3870218507,20
9946,60.4055915910,-7.5355339059,4,1,30,19,-4,-24,-0.4055915910,0.4644660941,0.6166305955,21
9947,60.6984848098,-8.2426406871,4,1,31,18,-4,-24,1.3015151902,-0.2426406871,1.3239396864,21
9948,61.4055915910,-7.5355339059,5,2,31,19,-4,-24,0.5944084090,0.4644660941,0.7543541007,22
9949,60.4055915910,-5.1213203436,3,0,30,20,-3,-23,-0.4055915910,0.8786796564,0.9677719139,24
9950,60.6984848098,-5.8284271247,3,0,31,19,-3,-23,1.3015151902,0.1715728753,1.3127753204,24
