family,extent,offx,offy,lambda,policy,movable_feasible_frac,frac_escalated,partner_turnover,abs_con_med,abs_con_p95,abs_con_max,abs_unc_med,abs_unc_p95,abs_unc_max,ratio_med_paired,ratio_p95_paired,reps
golden,18,0.41,0.23,0.5,B,1.0000,0.0000,0.3650,0.6668,2.3041,3.4383,1.4336,3.3928,5.3349,0.4651,0.6784,40
golden,18,0.41,0.23,1.0,A,1.0000,0.0000,0.4546,0.6668,2.3041,3.4383,1.4162,3.3798,5.5924,0.4716,0.6815,40
golden,18,0.41,0.23,1.0,B,1.0000,0.0000,0.4620,0.6673,2.3041,3.4383,1.4415,3.4000,5.0774,0.4641,0.6747,40
golden,18,0.41,0.23,2.0,A,1.0000,0.0000,0.5919,0.7208,2.3809,3.6293,1.4278,3.3913,5.3349,0.5150,0.6994,40
golden,18,0.41,0.23,2.0,B,1.0000,0.0000,0.6093,0.7208,2.3568,3.4841,1.4310,3.3913,5.5924,0.5152,0.6926,40
golden,18,0.05,0.47,0.25,A,1.0000,0.0000,0.2475,0.6625,2.0672,3.1338,1.4305,3.4289,4.2029,0.4631,0.5997,40
golden,18,0.05,0.47,0.25,B,1.0000,0.0000,0.2646,0.6625,2.0263,3.1338,1.4667,3.4247,4.2029,0.4517,0.5953,40
golden,18,0.05,0.47,0.5,A,1.0000,0.0000,0.2981,0.6625,2.0672,3.1338,1.4391,3.4204,4.2029,0.4605,0.6054,40
golden,18,0.05,0.47,0.5,B,1.0000,0.0000,0.2907,0.6625,2.0672,3.1767,1.4388,3.4091,4.2029,0.4605,0.6038,40
golden,18,0.05,0.47,1.0,A,1.0000,0.0000,0.4022,0.6632,2.0948,3.2195,1.4667,3.4093,4.2029,0.4522,0.6198,40
