substrate,group,seed,time,threshold,phys_msd,near_return_frac,near_return_n,near_return_mean_perp,near_return_median_perp
AB_N30,texture_low_depth_low,0,128,1.0,113.50927055515223,0.006704980842911878,14,1.451810693960118,1.84775906504015
AB_N30,texture_low_depth_low,0,128,2.0,113.50927055515223,0.034003831417624523,71,1.2125824377868482,1.4142135623730951
AB_N30,texture_low_depth_low,0,128,3.0,113.50927055515223,0.05938697318007663,124,1.3562111353279727,1.08239220030269
AB_N30,texture_low_depth_low,0,256,1.0,220.24033969583573,0.0038314176245210726,8,1.3858192987801126,1.84775906504015
AB_N30,texture_low_depth_low,0,256,2.0,220.24033969583573,0.020114942528735632,42,1.1556196978289281,0.7653668647565941
AB_N30,texture_low_depth_low,0,256,3.0,220.24033969583573,0.033045977011494254,69,1.2937500279581087,1.08239220030269
AB_N30,texture_low_depth_low,0,512,1.0,425.48152616144523,0.0004789272030651341,1,0.0,0.0
AB_N30,texture_low_depth_low,0,512,2.0,425.48152616144523,0.007662835249042145,16,0.9935193334204795,0.7653668647757284
AB_N30,texture_low_depth_low,0,512,3.0,425.48152616144523,0.01532567049808429,32,1.3027189521720055,1.08239220030269
AB_N30,texture_low_depth_low,0,1024,1.0,757.6865921036512,0.0019157088122605363,4,1.84775906504015,1.84775906504015
AB_N30,texture_low_depth_low,0,1024,2.0,757.6865921036512,0.007662835249042145,16,1.2347882415794778,1.0897902135744117
AB_N30,texture_low_depth_low,0,1024,3.0,757.6865921036512,0.011973180076628353,25,1.3070119956614408,1.08239220030269
AB_N30,all_interior75,1,64,1.0,59.04832205633851,0.019118771692452498,325,1.080228376472646,1.847759064947762
AB_N30,all_interior75,1,64,2.0,59.04832205633851,0.08888758162244838,1511,1.0476737790388446,0.76536686473746
AB_N30,all_interior75,1,64,3.0,59.04832205633851,0.12688981704806165,2157,1.1163642515349614,1.08239220030269
AB_N30,all_interior75,1,128,1.0,116.97054286142813,0.009118183422554268,155,0.9417610718475592,1.8477590649094937
AB_N30,all_interior75,1,128,2.0,116.97054286142813,0.04335549149949997,737,0.9947204539568222,0.76536686473746
AB_N30,all_interior75,1,128,3.0,116.97054286142813,0.06429789987646332,1093,1.0949743202949656,1.08239220030269
AB_N30,all_interior75,1,256,1.0,227.97642726231814,0.005529737043355492,94,0.9238795325119737,0.9238795324547469
AB_N30,all_interior75,1,256,2.0,227.97642726231814,0.024295546796870404,413,1.0048103126771606,0.76536686473746
AB_N30,all_interior75,1,256,3.0,227.97642726231814,0.033766692158362255,574,1.0785987164283375,1.08239220030269
AB_N30,all_interior75,1,512,1.0,443.09357079269694,0.0021177716336255076,36,1.026532813904999,1.847759064974822
AB_N30,all_interior75,1,512,2.0,443.09357079269694,0.012588975822107183,214,1.0279848121939261,0.76536686473746
AB_N30,all_interior75,1,512,3.0,443.09357079269694,0.018177539855285606,309,1.101146037773451,1.0823922002644217
AB_N30,all_interior75,1,1024,1.0,821.2365942980664,0.001470674745573269,25,1.0347450764141963,1.8477590650018818
AB_N30,all_interior75,1,1024,2.0,821.2365942980664,0.007235719748220484,123,1.0544253616879746,0.76536686473746
