substrate,seed,threshold,control,n_near_loops,mean_perp_residue,median_perp_residue,mean_residue_high_depth_range,mean_residue_low_depth_range,mean_residue_high_excursion,mean_residue_low_excursion,mean_residue_high_cum_depth,mean_residue_low_cum_depth,mean_residue_dip_return,mean_residue_no_dip,n_dip_return,n_no_dip,spearman_depth_range_vs_residue,spearman_excursion_vs_residue,spearman_cum_depth_vs_residue,spearman_start_depth_vs_residue,mean_depth_range,mean_depth_excursion,mean_cum_abs_depth_change
Penrose_N24,1,1.0,real,20,0.40450849718679527,0.0,0.3236067977546023,0.6472135955069348,0.0,0.6472135955069348,0.6472135955046651,0.3236067977546023,0.1155738563333255,1.0786893258448913,14,6,-0.01779850458192806,-0.2689551803491351,0.034608203353749006,-0.23434697699538612,0.9220913075905178,0.48778402435056806,287.7834842090557
Penrose_N24,1,2.0,real,132,1.0441103373589007,1.1755705045741416,1.1059405050274216,0.9993710158886578,0.8336246964375608,1.2805587990175955,1.1484601575667943,1.072394459750673,0.849898794085128,1.2633814346034824,70,62,0.08259800033662233,-0.3289860638893426,0.01800976616816072,-0.3331793669716085,0.9135794974474977,0.4520732804504034,287.89467853837647
Penrose_N24,1,3.0,real,174,1.2136698049020296,1.1755705046317708,1.3596516021278309,1.1754275381272394,0.9563824592320066,1.6056701959029844,1.3001994608015317,1.2113893686773354,0.9582716766058511,1.4466153504908517,83,91,0.10020531750612666,-0.3778910314378792,-0.010778222037493507,-0.386518161453156,0.9149653029081597,0.438772296224821,287.7707969290742
Penrose_N24,2,1.0,real,24,0.6741808286481485,0.0,1.078689325843,0.0,0.2696723314602771,1.0786893258271488,0.8090169943827229,0.2696723314602771,0.3595631086137028,1.6180339887514859,18,6,0.37917773704877283,-0.3342236754398977,0.30979212021768293,-0.4163137009865392,0.9187851074338301,0.43472832069875617,288.3242930466993
Penrose_N24,2,2.0,real,123,0.9956857243442238,1.1755705045741416,1.0887012915826022,0.9301658257975912,0.7304596408319382,1.2012972448225128,0.9839693706338508,0.9520539374690326,0.8249700590909719,1.1999348238436498,67,56,0.08283830595252582,-0.28719537460670574,0.02011967867177524,-0.3095631706505969,0.9167718786865942,0.45512787672199967,288.35939827837433
Penrose_N24,2,3.0,real,171,1.2077071498620346,1.1755705046,1.3562380764791166,1.1459307624960486,0.9026152111425566,1.5223843397928944,1.1795549513977892,1.142723524631603,1.0370891628679184,1.406401514462777,92,79,0.0921725017238708,-0.34996100461721324,-0.03134867239169831,-0.3739374078353126,0.9170531262601588,0.4346375481373398,287.8482662796859
Penrose_N24,3,1.0,real,21,0.5393446629171063,0.0,0.2696723314602771,0.2696723314602771,0.0,0.8090169943808313,0.26967233146216857,0.5393446629205542,0.3236067977467487,1.0786893258429997,15,6,0.008556009036052019,-0.3716767504952262,-0.2060551022619978,-0.3825626804260488,0.9194553897507651,0.49538069549790253,287.140016478097
Penrose_N24,3,2.0,real,136,1.0446154736311184,1.1755705045741416,0.9372003844450106,1.0173869046649504,0.7549411594929625,1.3211890689130872,0.9288451184339241,1.0402286478772638,0.8981718088147754,1.2143041646087855,73,63,-0.010418346436459695,-0.3870307465819635,-0.05337629715677628,-0.3967626932733482,0.9190993944436434,0.47008294358626007,287.3618014319833
Penrose_N24,3,3.0,real,184,1.187749214579951,1.1755705046317708,1.159616402934107,1.1204621240481696,0.8477351410157854,1.5641686487217772,1.0538944086991515,1.2025944467740906,1.0072985428352377,1.380365100150151,95,89,-0.0015473405336631026,-0.4715700670466958,-0.1262916483286148,-0.48614740160749165,0.9183457797826315,0.429012482164625,286.75559582294113
Penrose_N24,4,1.0,real,22,0.6619229953963693,0.0,0.5393446629288352,0.5393446629089621,0.5393446629089621,1.0786893258219463,0.2696723314602771,1.3483616572864825,0.2311477126829759,1.4157797401448078,14,8,0.2504979990575898,-0.3525997151291644,-0.4020651427911694,-0.39635759344555344,0.9159342797731648,0.40003736969068204,286.3085908495566
